,movies,year,rating,genre,votes,gross
285,Jungfrukällan,1960,8.1,Drama,25178,1.53
286,Inherit the Wind,1960,8.1,Biography,26031,NA
287,Les quatre cents coups,1959,8.1,Crime,98580,NA
288,Ben-Hur,1959,8.1,Adventure,211028,74.70
289,Kakushi-toride no san-akunin,1958,8.1,Adventure,31906,NA
290,Sweet Smell of Success,1957,8.1,Drama,26261,NA
291,Le notti di Cabiria,1957,8.1,Drama,40828,0.75
292,Kumonosu-jô,1957,8.1,Drama,42789,NA
293,The Bridge on the River Kwai,1957,8.1,Adventure,194796,44.91
294,On the Waterfront,1954,8.1,Crime,135206,9.60
295,Le salaire de la peur,1953,8.1,Adventure,51348,NA
296,Ace in the Hole,1951,8.1,Drama,28853,3.97
297,White Heat,1949,8.1,Action,28147,NA
298,The Third Man,1949,8.1,Film-Noir,152096,0.45
299,The Red Shoes,1948,8.1,Drama,28623,10.90
300,The Shop Around the Corner,1940,8.1,Comedy,26107,0.20
301,Rebecca,1940,8.1,Drama,116491,4.36
302,Mr. Smith Goes to Washington,1939,8.1,Comedy,102467,9.60
303,Gone with the Wind,1939,8.1,Drama,276757,198.68
304,La Grande Illusion,1937,8.1,Drama,32405,0.17
305,It Happened One Night,1934,8.1,Comedy,89158,4.36
306,La passion de Jeanne d'Arc,1928,8.1,Biography,44072,0.02
307,Sunrise: A Song of Two Humans,1927,8.1,Drama,45266,0.54
308,The General,1926,8.1,Action,76385,1.03
309,Das Cabinet des Dr. Caligari,1920,8.1,Fantasy,53978,NA
310,The Gentlemen,2019,8.0,Action,112932,NA
311,Shoplifters,2018,8.0,Crime,50612,3.31
312,Marriage Story,2019,8.0,Comedy,205654,NA
313,Airlift,2016,8.0,Drama,50669,NA
314,Bajrangi Bhaijaan,2015,8.0,Action,67890,8.18
315,Baby,2015,8.0,Action,50539,NA
316,La La Land,2016,8.0,Comedy,473628,151.10
317,Lion,2016,8.0,Biography,199514,51.74
318,The Martian,2015,8.0,Adventure,724551,228.43
319,Zootopia,2016,8.0,Animation,410972,341.27
320,Kaguyahime no monogatari,2013,8.0,Animation,33656,1.51
321,Wonder,2017,8.0,Drama,127783,132.42
322,Special Chabbis,2013,8.0,Crime,48039,1.08
323,Short Term 12,2013,8.0,Drama,77586,1.01
324,Serbuan maut 2: Berandal,2014,8.0,Action,109537,2.63
325,The Imitation Game,2014,8.0,Biography,653152,91.13
326,Guardians of the Galaxy,2014,8.0,Action,1007697,333.18
327,X-Men: Days of Future Past,2014,8.0,Action,642756,233.92
328,Blade Runner 2049,2017,8.0,Action,425469,92.05
329,Her,2013,8.0,Drama,509016,25.57
330,Bohemian Rhapsody,2018,8.0,Biography,419516,216.43
331,The Revenant,2015,8.0,Action,668976,183.64
332,The Perks of Being a Wallflower,2012,8.0,Drama,441801,17.74
333,Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0,Action,77175,0.10
334,The King's Speech,2010,8.0,Biography,619007,138.80
335,Deadpool,2016,8.0,Action,867827,363.07
336,Darbareye Elly,2009,8.0,Drama,41727,0.11
337,Dev.D,2009,8.0,Drama,27374,0.01
338,Yip Man,2008,8.0,Action,204320,NA
339,My Name Is Khan,2010,8.0,Drama,94758,4.02
340,Nefes: Vatan Sagolsun,2009,8.0,Action,30702,NA
341,Slumdog Millionaire,2008,8.0,Drama,774804,141.32
342,Black Swan,2010,8.0,Drama,676119,106.95
343,The Avengers,2012,8.0,Action,1226949,623.28
344,Persepolis,2007,8.0,Animation,85507,4.45
345,Dallas Buyers Club,2013,8.0,Biography,421974,27.30
346,The Pursuit of Happyness,2006,8.0,Biography,427347,163.57
347,Blood Diamond,2006,8.0,Adventure,481414,57.37
348,The Bourne Ultimatum,2007,8.0,Action,592157,227.47
349,Bin-jip,2004,8.0,Crime,47301,0.24
350,Sin City,2005,8.0,Crime,728447,74.10
351,Le scaphandre et le papillon,2007,8.0,Biography,100848,5.99
352,G.O.R.A.,2004,8.0,Adventure,53501,NA
353,Ratatouille,2007,8.0,Animation,612979,206.45
354,Before Sunset,2004,8.0,Drama,221947,5.82
355,Casino Royale,2006,8.0,Action,561943,167.45
356,Kill Bill: Vol. 2,2004,8.0,Action,655339,66.21
357,Vozvrashchenie,2003,8.0,Drama,40350,0.50
358,Bom yeoreum gaeul gyeoul geurigo bom,2003,8.0,Drama,74191,2.38
